etd_code,title,department,keywords,abstract
tl_etd_246,"""Being Grown"": How Adolescent Girls with Disabilities Narrate Self-Determination and Transitions",Teaching and Leadership,"Adolescent girls, Equity, Gender, Self-determination, Special education, Transitions","Across the United States young women with disabilities are experiencing economic and educational disadvantages. Although post-school outcomes have shown improvement, young women continue to experience high unemployment rates, low wages, and high rates of poverty. In this study, I explore the experiences of four teenage girls who have been labeled as having learning disabilities and intellectual disabilities. Through in-depth interviews, supported collage making, document review, and the AIR Self-Determination Scale, I examine how they experience girlhood, schooling, and transitions. I consider the ways in which adolescent girls with disabilities negotiate special education, social relationships, and the salient and permeable borders of girlhood and adulthood. I consider how the policies and practices of special education both produce and police gendered narratives of behavior and compliance.I also examine the liminal space of post-school transitions. I contemplate issues of equity and access to opportunity, while examining the consequences of labeling, segregation, and interlocking systems of oppression such as race, class, and gender on these opportunities. Further, I consider the participants' diverse understandings of and experiences with self-determination. In the conclusion, I present a framework for a more equitable and culturally responsive approach to transitions and describe the implications of this study for teachers, parents, students, and teacher preparation programs."
scied_etd_21,"""Evo in the News"": A Pedagogical Tool to Enhance Students' Perceptions of the Relevance of Evolutionary Biology",Science Teaching,"Biology Education, College Science Teaching, Current Events, Evolution Education, Pedagogical Tools, Relevance","This investigation evaluated the effects of the use of the pedagogical tool ""Evo in the News"" on the attitudes toward and knowledge of biological evolution in a sample of undergraduate non-major biology students at a large, private research university. In addition, this study looked at the initial attitudes of the students and their knowledge of evolution before beginning a second semester introductory biology course. Both the initial attitudes and knowledge of the students and the gains in positive attitudes and knowledge were measured using the Evolutionary Attitudes and Literacy Survey (EALS). The goal of the research was to analyze potential gains using a quasi-experimental design with pre-test/post-test comparison between a control group and a treatment group. The control group and treatment group differed in that throughout the course of the semester, the treatment group was assigned pre-laboratory work using the ""Evo in the News"" tool while the control group was assigned pre-lab work without ""Evo in the News"". Although it was anticipated that the students would begin the semester at a higher level of knowledge and positive attitudes than the general population, the findings suggested that a large percentage of the students harbored significant misconceptions, lack of understanding, and negative attitudes regarding biological evolution at the beginning of the semester. At the conclusion of the semester, significant gains were found in two constructs on the EALS. The treatment group showed significant improvement in one attitudes construct, relevance of evolution, and in one knowledge construct, genetic literacy when the pre-surveys and post-surveys were compared. Additional findings demonstrated a significant correlation between positive attitudes toward evolution and knowledge of evolution. Also, significant correlations were found between both positive attitudes toward and knowledge of evolution and the students' level of achievement as measured by their final course grades."
etd_16,"""From the American People"": Aid, Counterinsurgency, and the U.S. National Security State in Palestine",Geography,"Counterinsurgency, Humanitarianism, Israel/Palestine, Liberal War, Political Geography, Sovereignty","Palestine has long been a key node in circuits of global counterinsurgency. Under the British Mandate, the territory served as a staging ground for the consolidation of British imperial policing and pacification strategies, and following mandate rule, it has served as a testing ground for Israeli experiments in asymmetric warfare and demographic engineering. While counterinsurgency is often assumed to be kinetic, or related to outright violence and lethal force, its ""non-kinetic"" counterparts are often overlooked. This dissertation explores these dimensions to liberal warfare and counterinsurgency practice in Israel/Palestine. Drawing on over thirteen months of ethnographic fieldwork in the Palestinian territories on the United States Agency for International Development (USAID) and the vast web of aid intermediaries, experts, lawyers, and contractors through which it operates, this dissertation traces the ways in which counterinsurgency and pacification strategies are being mobilized through the networks of aid governance. The central argument developed throughout this dissertation rests on three interrelated claims: First, I argue that the aid regime that has emerged over the last half century in the Palestinian territories is part and parcel of an ever-more elaborate regime of control that has produced new forms of discipline and dependency through the steady undermining of local networks, productive capacities and political formations across the West Bank and Gaza. Secondly, the case of Palestine, I argue, lends insight into the ways in which the practices and institutions we most often associate with liberal modernity are themselves invested with the force of war. Finally, in tracing the shared security practices and intensified forms of collaboration taking place between states, I argue that the processes unfolding in Israel/Palestine point to a reworking of sovereignty wherein the increasingly networked relations between sovereign powers are giving rise to a global security apparatus that monitors and disciplines populations of ""suspect civilians"" across borders."
soc_etd_75,"""My pedagogy is where so much of my feminism happens"": The Social Organization of Feminist Educators' Work in the Corporatizing Academy",Sociology,,"Feminist educators in higher education perform feminist politics through their teaching practices. Among other goals, their pedagogies often seek to critically examine and transgress relations of power and domination associated with ruling systems (e.g., white supremacy, capitalism, heteropatriarchy), and to ""create participatory spaces"" (hooks 1994:15) for productive dialogue, resistance, and change. At the same time, postsecondary institutions are becoming more corporate and entrepreneurial in their orientation and structure--a trend that is mostly inconsistent with feminist educators' political interests, work, and vision of the academy.Using institutional ethnography and referencing in-depth interviews with feminist educators and administrators from five postsecondary institutions in North America, I explore the teaching practices and professional work lives of feminist educators and examine the ways in which their work is shaped by the broader context of higher education. The following research questions guided this project: How do feminist educators understand and describe their teaching work in the academy? How are the teaching practices of feminist educators shaped by the institutional contexts in which they work? That is, what institutional and textual processes organize their decisions about teaching strategies, curriculum, and the allocation of time and energy? In particular, I examine the syllabus and regimes of assessment, evaluation, and accountability as they relate to and shape feminist educators' professional work lives.This analysis explores some of the ways that corporatization and the textually mediated social relations of the academy influence and restrict aspects of feminist educators' teaching work. Additionally, this analysis explores some of the strategies that feminist educators use to promote the discourse of feminism in the face of institutionalized pressures to silence, curtail, or weaken their efforts. In making feminist educators' work lives visible and revealing how feminist educators' work lives are organized by a text-based ruling apparatus, my hope is that readers gain a better awareness and understanding of the work that feminist educators do and how power operates in higher education. With this knowledge, we can develop effective strategies for addressing the concerns of feminists and other social justice educators on campus, and engage in productive dialogue about how educators' pedagogical practices can be used to challenge the neoliberal, corporate trends taking place in academia."
tl_etd_238,"""Roadblocks, Stop Signs"": Health Literacy, Education and Communication at a Free Medical Clinic",Teaching and Leadership,"Adult Education, Health Literacy, Marginalized Patients, Patient-Provider Communication","This qualitative study, which takes place in a free medical clinic for low-income and uninsured patients, addresses the patients' health literacy and access to health information inside and outside of the clinic setting, as well as the strategies clinic providers use to effectively communicate health information. This study is based on participant observation in an urban clinic in the Northeast, interviews of 22 patients and 20 health-care providers, and direct observation of the patient/provider communication in nine instances. In the clinic, the providers serve as educators for vulnerable, stressed patients, who are adult learners. The patients were interviewed in order to understand their health education needs, their comprehension of the health information that they received at the clinic, and their access to health information outside of the clinic. The providers, who were volunteers at the clinic, were interviewed to understand their strategies to effectively communicate with their patients. This study, therefore, provides insights into how adults learn in nonformal educational settings and what strategies appear to be effective to communicate with people who are marginalized and stressed."
rel_etd_84,"""She's an All-in-One Guru"": Devotion to a 21st century Mystic",Religion,"gurus, Hinduism, India, Saints, spirituality, women","Anandmurti Gurumaa is a multi-lingual teacher of meditation and ""spirituality"" situated at the intersection of Hindu, Buddhist, Sufi and Sikh mystical traditions. This dissertation, employing inter-disciplinary methodology, provides an in-depth study of Gurumaa and her rapidly developing, disciple-driven transnational spiritual movement. I introduce Gurumaa and her circle of devotees within the cultural context of globetrotting Indian gurus and examine issues of tradition and innovation in her mission. Through ethnographic writing, I specifically turn to examples of Gurumaa's pluralism, gender activism and embrace of new media to discuss continuity and change within the tradition of guru-bhakti (devotion to the guru). Because Gurumaa embraces rhetoric of ""female empowerment,"" and points to her own ""enlightened"" female body as evidence that women can and do reach the highest spiritual states, her leadership offers an ideal context in which to consider emerging gendered re-interpretations of ""tradition"" in the new global religious milieu."
etd_345,"""Someday my Prince Will Come"":  A Mixed-Methods Analysis of Gender and Romantic Relationships in Selected  Feature-Length Disney Animated Films from 1937-2007",Media Studies,,"Through its animated films, the Disney Company presents definitions of gender to both children and adults. In addition to gender representation, romantic Disney films thread love and the quest for romantic relationships throughout the story. Given that minimal research exists on the portrayal of romantic relationships and its correlation to gender, the purpose was to study stereotypical actions of female characters; gender differences in verbally and nonverbally communicating love and its importance; and ultimately a character's transformation as the result of the attainment of a romantic relationship.This study employed a mixed-methods approach. A content analysis of 12 romantic Disney animated films was used to explore the portrayals of love dependent upon gender and time. Qualitative analysis was used to further explore love's relationship to the portrayal of stereotypical actions, and characters' goals such as domesticity.While none of the hypotheses yielded statistical support, an examination of descriptive data does illustrate trends consistent with prior research and in support of the hypotheses. A qualitative analysis of Cinderella and The Little Mermaid enriches these findings."
etd_111,"""That's me in the game"": Being present and identifying avatar",Mass Communications,"Avatar, Embodied experience, Media violence, Neuroimaging, Presence, Virtual environment","Customization of an in-game character, or ""avatar,"" is a core feature in modern video games and has the capacity to exert a profound impact on the user experience. This dissertation is concerned with the question of how the appearance of a users' avatar influences them - specifically how avatars that look like the users affect the sense of their body, their behavior in the virtual environment, and the psychological effects of the virtual environment. The question is explored through two separate but related studies.The first study focuses on how avatar customization and realism can reduce the possible adverse effects of violent video games while maintaining high levels of enjoyment. Results from both self-report measures and physiological stress reactivity (assessed by heart rate variability) indicate that participants, who are able to customize or create self-resembling avatars, experience less stress and aggressive thoughts, more enjoyment, and greater presence in the game, while exhibiting less aggressive and more prosocial behaviors. Thus, avatar customization was shown to have a positive effect on users' thoughts, feelings, and behaviors. The theoretical and practical implications of this study are discussed in terms of media violence effects.The second study utilizes neuroimaging (functional near-infrared spectroscopy) to investigate possible neural correlates of embodied experience through the avatar, specifically how the human brain responds to different types of avatar embodiment (deindividuated vs. self-resembling bodies). Results from both self-report and regional brain activity measures (changes in cerebral hemodynamics) reveal different levels of activation in the supplementary motor area by the types of avatar and indicate that this brain region is associated with subjective embodied experience. A key finding of this study was a strong negative correlation of the neural activity in the supplementary motor area with the behavioral level of embodied experience (i.e., the experience of being engaged with the actions of the avatar). Possible interpretations of this finding are discussed in terms of avatar self-identification and avatar embodiment."
geo_etd_75,"""The Canal Is in the Hands of the Conspirators"": Fear of Traffickers and Transport Workers in the British North Atlantic and the Port of New York, 1840-1940",Geography,"Social sciences, British North Atlantic, Port of New York, Traffickers, Transport workers","This dissertation looks at the retrenchment of entire modes of transportation. I look in particular at divestments from shipping canals and from harbor boats. I also discuss divestments from certain kinds of animal transportation, especially mules.Many preceding scholars have generally attributed the decline of these transport techniques to economic factors. These scholars explain the decline of canals as a function of the rise of the faster railroads; the decline of downtown waterfronts as a function of the rise of supposedly more efficient containerization technologies; and the decline of transport animals as a function of the rise of numerous modes of motorized transport. I argue that even if such economic factors have certainly been important, they cannot adequately explain the demise of the transport modes which interest me, many of whose politically and economically valuable capabilities were never satisfactorily replaced by the transport methods that emerged in their place. In the cases I look at, I stress the likelihood that an important but overlooked factor militating against continued investment in the given retrenched transport technology--whether canal boat, harbor boat, or draft animal--was the technology's real or perceived association with, and use by, politically rebellious groups for the purposes of clandestine, subversive trafficking.I go into particular depth examining two such cases. One case is the demise of ship-canal building within the British Empire between 1870 and 1920. Another is the history of elite refusals to invest in New York City's inner-city waterfront, from the 1920s onward. And in a final, somewhat more exploratory case, I look at animal transportation, in particular at the U.S. Military's decision to deactivate its mule corps during the 1950s."
etd_320,"""The Terror Within:"" Neoliberalism and the Rhetoric of the Obesity Crisis",Writing Program,"Citizenship, Fat Studies, Feminist Rhetoric, Neoliberalism, Rhetoric of the body","This dissertation focuses on specific discourses within the rhetoric of the ""obesity crisis"" that position the fat body as a threat to U.S. military power and national identity. Since 9/11, there has been a growing rhetoric that frames obesity as a threat to national security that is weakening U.S. military forces and straining the U.S. economy through increased health care costs and lower worker productivity. Drawing on research from rhetorical studies, transnational feminism, and disability studies that highlight the way that discourses surrounding the body are used to limit access to citizenship and rhetorical agency, this research analyzes the material and discursive effects of nationalist rhetorics of obesity.The project begins with an analysis of John F. Kennedy's 1960 article ""The Soft American,"" which worried that declining rates of fitness in the U.S. would lead to defeat in the Cold War and ultimately led to the development of the Presidential Fitness Program. This analysis of Kennedy works to contextualize the analysis of a variety of specific contemporary sites where a nationalist rhetoric of obesity emerges, including the work of the lobbying organization ""Mission: Readiness,"" the Centers for Disease Control-funded documentary series Weight of the Nation, and the First Lady Michelle Obama's ""Let's Move"" campaign. The analysis of these sites shows that a nationalist rhetoric of obesity has developed as a response to the contradictions of neoliberalism, deflecting attention from the failures of the neoliberal state and encouraging citizen-consumers to buy their way to a thinner body. A nationalist rhetoric of obesity further normalizes the body and creates thinness as a condition of citizenship, ultimately reinforcing and deepening existing marginalizations based on race, gender, class, and ability.Through its methodology, this dissertation project builds on rhetorical work in transnational feminism like that being done by Rebecca Dingo, Jennifer Wingard, and Eileen Schell. The project also draws on the work of rhetorical disability scholars like Jay Dolmage, Cynthia Lewiecki-Wilson, and Margaret Price as it highlights the way discourses surrounding the body are used to limit access to citizenship and to rhetorical agency. In addition to blending transnational feminist and disability theory as critical frameworks, this project works to bring rhetorical studies into conversation with the relatively new field of fat studies-a field that challenges the medicalization of fat and deconstructs the stigma surrounding fatness in order to promote more just body politics."
